zimt	noun	zimt	cinnamon	корица
backte	verb	backen	baked	пекла
funkeln	verb	funkeln	sparkle	сверкать
vorhatte	verb	vorhaben	intended	намеревалась
kaltem	adj	kalt	cold	холодным
hefe	noun	hefe	yeast	дрожжи
backöfen	noun	backofen	oven	печь
mehlsäcken	noun	mehlsack	flour sacks	мешки с мукой
teedose	noun	teedose	tea tin	коробка для чая
umgedreht	verb	umdrehen	turned around	перевернула
donnerstagnachmittag	noun	donnerstagnachmittag	Thursday afternoon	четверг, днём
gesummt	verb	summen	hummed	гудела
holten	verb	holen	fetched	доставали
sollt	verb	sollen	should	должна
abschicken	verb	abschicken	send off	отправить
söhne'	noun	sohn	sons	сыновья
stadtarchiv	noun	stadtarchiv	city archive	городской архив
werft	noun	werft	shipyard	верфь
wasserturm	noun	wasserturm	water tower	водонапорная башня
wüsste	verb	wissen	would know	знала бы
nachgeschlagen	verb	nachschlagen	looked up	смотрела
jahreszahlen	noun	jahreszahl	years/dates	года
spinne	noun	spinne	spider	паук
fettflecken	noun	fettfleck	grease stains	жирные пятна
qualitätsflecken	noun	qualitätsfleck	quality marks	пятна качества
würdevoll	adj	würdevoll	dignified	достойно
steckten	verb	stecken	stuck	были засунуты
salz	noun	salz	salt	соль
geleert	verb	leeren	emptied	опустошила
leichte	adj	leicht	light	лёгкий
schlitz	noun	schlitz	slot	щель
samstagnachmittag	noun	samstagnachmittag	Saturday afternoon	суббота, днём
vorbeikommen	verb	vorbeikommen	come by	прибежать
gebacken	verb	backen	baked	пекла
regale	noun	regal	shelves	полки
schiffen	verb	schiffen	used improperly	ругалась
tasten	verb	tasten	feel	нащупали
hüte	noun	hut	hats	шляпы
tellern	noun	teller	plates	тарелки
verbotenes	adj	verboten	forbidden	запрещённое
esst	verb	essen	eat	ешьте
fugen	noun	fuge	joints	щели
spürten	verb	spüren	felt	почувствовали
möwe	noun	möwe	seagull	чайка
fiele	verb	fallen	would fall	упала бы
unterbrechen	verb	unterbrechen	interrupt	прерывать
alledem	pron	alledem	all of that	всё это
überraschte	verb	überraschen	surprised	удивила
ängstlich	adj	ängstlich	anxious	робко
zurückgelegt	verb	zurücklegen	covered	прошли
trauriges	adj	traurig	sad	грустный
mutige	adj	mutig	brave	смелые
größeren	adj	groß	larger	больших
klaviers	noun	klavier	piano	фортепиано
einig	adj	einig	in agreement	согласны
weglaufen	verb	weglaufen	run away	убежать
nachsehen	verb	nachsehen	check	проверить
reißverschluss	noun	reißverschluss	zipper	молния
geschimpft	verb	schimpfen	cursed	ругалась
verlierer	noun	verlierer	loser	проигравший
magen	noun	magen	stomach	желудок
hauch	noun	hauch	breath	дыхание
raumes	noun	raum	room	комнаты
gib	verb	geben	give	дай
such	verb	suchen	search	ищи
schade	intj	schade	a pity	жаль
stürzen	verb	stürzen	plunge	бросаться
blitzte	verb	blitzen	flashed	сверкнула
durchsuchen	verb	durchsuchen	search	обыскала
verhallten	verb	verhallen	faded	затихли
holen	verb	holen	fetch	доставай
sorge	noun	sorge	worry	забота
einigem	pron	einig	some of it	кое-что
umdrehte	verb	umdrehen	turned	повернула
mülltonne	noun	mülltonne	trash bin	мусорный бак
verbeißen	verb	verbeißen	restrain	сдержаться
element	noun	element	element	элемент
vertrauten	verb	vertrauen	trusted	доверили
stadtzentrum	noun	stadtzentrum	town center	центр города
regnen	verb	regnen	rain	идёт дождь
spätnachmittag	noun	spätnachmittag	late afternoon	поздний полдень
müder	adj	müde	more tired	более усталые
duckten	verb	ducken	crouched	присели
fetzen	noun	fetzen	scraps	лоскуты
verschluckten	verb	verschlucken	swallowed	проглотили
behalt	verb	behalten	keep	храни
zurückbekommen	verb	zurückbekommen	get back	вернуть
wisst	verb	wissen	know	знаете
baufirma	noun	baufirma	construction company	строительная фирма
abreißt	verb	abreißen	tears down	разрушает
marktplatzes	noun	marktplatz	market square	рыночной площади
pfützen	noun	pfütze	puddles	лужи
dienstagmorgen	noun	dienstagmorgen	Tuesday morning	вторник, утром
todmüde	adj	todmüde	dead tired	смертельно усталые
versagt	verb	versagen	failed	отказала
umsonst	adv	umsonst	in vain	напрасно
erschrocken	adj	erschrocken	frightened	испуганные
schwammen	verb	schwimmen	swam	плыли
ungläubig	adj	ungläubig	incredulous	недоверчиво
regens	noun	regen	rain	дождя
durcheinander	adv	durcheinander	in disorder	вразброд
strahlte	verb	strahlen	shone	сияла
stünde	verb	stehen	would stand	стояла бы
hingehört	verb	hingehören	belong	относиться
beziehungsweise	conj	beziehungsweise	or rather	соответственно
teuren	adj	teuer	expensive	дорогих
gemeines	adj	gemein	mean	подлое
nimm	verb	nehmen	take	возьми
blöde	adj	blöde	stupid	глупо
sowieso	adv	sowieso	anyway	так или иначе
probiert	verb	probieren	tried	попробовала
stinksauer	adj	stinksauer	furious	очень рассержена
klauen	verb	klauen	steal	украсть
euren	pron	euer	your	вашу
bösewicht	noun	bösewicht	villain	злодей
totes	adj	tot	dead	мёртвое
meint	verb	meinen	means	имеет в виду
zuschob	verb	zuschieben	pushed toward	подвинула
freundschaft	noun	freundschaft	friendship	дружба
liebt	verb	lieben	loves	любит
bedeuten	verb	bedeuten	mean	означать
zurückschreiben	verb	zurückschreiben	write back	ответить
schönste	adj	schön	most beautiful	самый красивый
traurigste	adj	traurig	saddest	самый грустный
