zurückfahren	v	zurückfahren	drive back	уехать назад
Bootsstation	n	die Bootsstation	boat station	лодочная станция
Kinderkriegens	n	das Kinderkriegen	childbearing	рождение детей
Storch	n	der Storch	stork	аист
Aufschriften	n	die Aufschrift	inscriptions	надписи
primitive	adj	primitiv	primitive	примитивный
Intimleben	n	das Intimleben	intimate life	интимная жизнь
vergötterte	v	vergöttern	deified	обожествлять
Instinkte	n	der Instinkt	instincts	инстинкты
Freiheiten	n	die Freiheit	freedoms	свободы
Schwärmereien	n	die Schwärmerei	infatuations	восхищения
Neujahrs	adj	Neujahrs	New Year's	новогодний
Maskenball	n	der Maskenball	masquerade ball	маскарадный бал
Lieblingstanzmusik	n	die Lieblingstanzmusik	favorite dance music	любимая танцевальная музыка
aufzulegen	v	auflegen	to put on	положить
reichendes	adj	reichend	reaching	достаточный
vergessend	v	vergessen	forgetting	забывая
tanzende	adj	tanzend	dancing	танцующий
Sportliche	adj	sportlich	athletic	спортивный
schneidge	adj	schneide	dashing	смелый
unsportliche	adj	unsportlich	unsporty	неспортивный
Wanina	name	Wanina	Wanina	Ванина
Zauber	n	der Zauber	magic	волшебство
ansehnliche	adj	ansehnlich	presentable	внушительный
muskulöse	adj	muskulös	muscular	мускулистый
raue	adj	rau	rough	грубый
Glawtabak	name	Glawtabak	Glawtabak	Главтабак
Lehrerfortbildung	n	die Lehrerfortbildung	teacher training	повышение квалификации учителей
Teilzeit	n	die Teilzeit	part-time	неполное рабочее время
Musiklehrer	n	der Musiklehrer	music teacher	учитель музыки
neuerliche	adj	neuerlich	renewed	новый
offenkundigen	adj	offenkundig	obvious	очевидный
verwöhnter	adj	verwöhnt	spoiled	избалованный
GlawTraktorSbyt	name	GlawTraktorSbyt	GlawTraktorSbyt	ГлавТракторСбыт
Hauptverwaltung	n	die Hauptverwaltung	main administration	главное управление
Aufstellungen	n	die Aufstellung	formations	расстановки
addierte	v	addieren	added	складывать
subtrahierte	v	subtrahieren	subtracted	вычитать
multiplizierte	v	multiplizieren	multiplied	умножить
dividierte	v	dividieren	divided	разделить
Lehr	n	die Lehre	teaching	обучение
Baugruppen	n	die Baugruppe	subassemblies	сборочные единицы
Nachbarskindern	n	das Nachbarskind	neighbors' children	дети соседей
erscheinenden	adj	erscheinend	appearing	появляющийся
Netzempfänger	n	der Netzempfänger	network receiver	сетевой приёмник
Kreisabteilung	n	die Kreisabteilung	district department	районное отделение
Krassawzew	name	Krassawzew	Krassawzew	Крассавцев
Armeedienst	n	der Armeedienst	military service	армейская служба
abgeleistet	v	ableisten	served	отслужить
Image	n	das Image	image	имидж
aufmerken	v	aufmerken	to pay attention	обращать внимание
Fortbildungskurse	n	der Fortbildungskurs	advanced training courses	курсы повышения квалификации
Kommandopersonal	n	das Kommandopersonal	commanding personnel	командный состав
Unterleutnants	n	der Unterleunant	second lieutenants	младшие лейтенанты
Reserve	n	die Reserve	reserve	резерв
Truppenteil	n	der Truppenteil	military unit	воинская часть
Narofominsk	name	Narofominsk	Narofominsk	Наро-Фоминск
Inhalte	n	der Inhalt	contents	содержание
