schlich	verb	schleichen	crept,snuck	прокрался
tanken	verb	tanken	refuel	заправляться
glenwood	name	Glenwood	Glenwood	Гленвуд
garfield	name	Garfield	Garfield	Гарфилд
jail	noun	das Gefängnis	jail	тюрьма
stabiler	adj	stabil	more stable	более стабильный
wachsamer	adj	wachsam	more vigilant	более бдительный
kartoffelbrei	noun	der Kartoffelbrei	mashed potatoes	пюре из картофеля
zusammenzubrechen	verb	zusammenbrechen	to collapse	сломаться
wärtern	verb	wärtern	to tend	ухаживать
diäten	noun	die Diät	diets	диеты
hohl	adj	hohl	hollow	пустой
rutschten	verb	rutschen	slipped	скользили
stockwerken	noun	das Stockwerk	floors	этажи
leitungen	noun	die Leitung	conduits,pipes	трубопроводы
durchmesser	noun	der Durchmesser	diameter	диаметр
abgemagerter	adj	abgemagert	emaciated	исхудалый
öffnung	noun	die Öffnung	opening	отверстие
gleiten	verb	gleiten	glide	скользить
silvesterabend	noun	der Silvesterabend	New Year's Eve	канун Нового года
gefängnispersonal	noun	das Gefängnispersonal	prison staff	тюремный персонал
feierte	verb	feiern	celebrated	праздновал
zwängte	verb	zwängen	squeezed,forced	запихнул
blutenden	adj	blutend	bleeding	кровоточащий
gestohlener	adj	gestohlen	stolen	украденный
schacht	noun	der Schacht	shaft	шахта
gefängnisdirektor	noun	der Gefängnisdirektor	prison director	директор тюрьмы
verreist	adj	verreist	away,traveling	в командировке
weihnachtsdekoration	noun	die Weihnachtsdekoration	Christmas decoration	рождественское украшение
fröhlichen	adj	fröhlich	merry,cheerful	веселый
tannenbaum	noun	der Tannenbaum	Christmas tree	ёлка
wärters	noun	der Wärter	attendant's	смотрителя
schulkind	noun	das Schulkind	school child	школьник
durchqueren	verb	durchqueren	traverse,cross	пересекать
denver	name	Denver	Denver	Денвер
flugticket	noun	das Flugticket	airline ticket	авиабилет
inlandsflug	noun	der Inlandsflug	domestic flight	внутренний рейс
geldschein	noun	der Geldschein	banknote	банкнота
bezahlen	verb	bezahlen	pay	платить
schneebedeckten	adj	schneebedeckt	snow-covered	заснеженный
westens	noun	der Westen	West	запад
gefangener	noun	der Gefangene	prisoner	заключённый
arbor	name	Arbor	Arbor	Арбор
atlanta	name	Atlanta	Atlanta	Атланта
oak	noun	die Eiche	oak	дуб
chris	name	Chris	Chris	Крис
hagen	name	Hagen	Hagen	Хаген
kreditkarten	noun	die Kreditkarte	credit cards	кредитные карты
handtaschen	noun	die Handtasche	handbags	сумочки
studentenkneipen	noun	die Studentenkneipe	student bars	студенческие бары
wohnstraße	noun	die Wohnstraße	residential street	жилая улица
sechshunderteinundsechzig	num	sechshunderteinundsechzig	six hundred sixty-one	шестьсот шестьдесят один
jefferson	name	Jefferson	Jefferson	Джефферсон
ziegelbau	noun	der Ziegelbau	brick building	кирпичное здание
verbindungshaus	noun	das Verbindungshaus	fraternity house	дом братства
studentinnen-schwesternschaft	noun	die Studentinnen-Schwesternschaft	sorority	женское студенческое общество
chi	name	Chi	Chi	Хи
omega	name	Omega	Omega	Омега
defektes	adj	defekt	defective	дефектный
repariert	verb	reparieren	repaired	отремонтировал
eichenholz-knüppel	noun	der Eichenholz-Knüppel	oak club	дубовая дубинка
schlimmste	adj	schlimm	worst	худший
bowman	name	Bowman	Bowman	Боумен
knüppel	noun	der Knüppel	club,cudgel	дубинка
